X,Y,FID,nom_pr,nom_voie,limitation,source,export,complem
338674.521,7691186.9958,1,N 0,Boulevard Gabriel Macé,50 km/h,Région Réunion (CGRT),25/06/2020, 
339961.5,7689266.37,2,N 4,Boulevard Jean Jaurès,50 km/h,Région Réunion (CRGT),25/06/2020, 
342880.0406,7689616.2569,3,N 0,Boulevard du Chaudron,50 km/h,Région Réunion (CRGT),25/06/2020, 
339426.5689,7690665.7637,4,N 1,Boulevard Lancastel,50 km/h,Région Réunion (CRGT),25/06/2020, 
340489.9373,7689932.6931,5,N 2,Boulevard Lancastel,70 km/h,Région Réunion (CRGT),25/06/2020, 
337606.0739,7690160.5073,6,N 1,Boulevard du Prince Vin-Sin,70 km/h,Région Réunion (CRGT),25/06/2020, 
343041.229,7689144.1768,7,N 1,Boulevard du Chaudron,50 km/h,Région Réunion (CRGT),25/06/2020, 
338216.2704,7689419.6394,8,N 2,Boulevard Jean Jaurès,50 km/h,Région Réunion (CGRT),25/06/2020, 
339193.6464,7689218.1069,9,N 3,Boulevard Jean Jaurès,50 km/h,Région Réunion (CRGT),25/06/2020, 
342644.0219,7688107.9911,10,N 7,Boulevard Jean Jaurès,70 km/h,Région Réunion (CRGT),25/06/2020, 
341210.7306,7689750.9106,11,N 3,Rue Léopold Rambaud,50 km/h,Région Réunion (CRGT),25/06/2020, 
342396.0793,7689670.5144,12,N 4,Rue Léopold Rambaud,70 km/h,Région Réunion (CRGT),25/06/2020, 
337783.3363,7690687.2827,13,N 1,Route du Littoral,50 km/h,Région Réunion (CRGT),25/06/2020,1+038
338680.059,7691174.5459,14,N 0,Boulevard Gabriel Macé,50 km/h,Région Réunion (CRGT),25/06/2020, 
343614.5155,7688121.7494,15,N 8,Boulevard Jean Jaurès,70 km/h,Région Réunion (CRGT),25/06/2020, 
343433.011,7689738.886,16,N 5,Route à Quatre Voies de Gillot,90 km/h,Région Réunion (CRGT),25/06/2020, 
336784.9395,7690840.0512,17,N 2,Route du Littoral,90 km/h,Région Réunion (CRGT),25/06/2020, 
343434.5985,7688693.2506,18,N 2,Boulevard du Chaudron,50 km/h,Région Réunion (CRGT),25/06/2020, 
343675.7229,7688280.04,19,N 3,Boulevard du Chaudron,50 km/h,Région Réunion (CRGT),25/06/2020, 
341653.8168,7688313.414,20,N 6,Boulevard Jean Jaurès,70 km/h,Région Réunion (CRGT),25/06/2020, 
340890.6246,7688909.5214,21,N 5,Boulevard Jean Jaurès,50 km/h,Région Réunion (CRGT),25/06/2020, 
344364.7166,7687960.8924,22,N 9,Boulevard Jean Jaurès,70 km/h,Région Réunion (CRGT),25/06/2020, 
344462.9434,7688601.4334,23,N 7,Route à Quatre Voies de Gillot,90 km/h,Région Réunion (CRGT),25/06/2020, 
344010.5049,7689535.4144,24,N 6,Route à Quatre Voies de Gillot,90 km/h,Région Réunion (CRGT),25/06/2020, 
344409.6958,7687707.884,25,N 4,Route des Rivières des Pluies,50 km/h,Région Réunion (CRGT),25/06/2020, 
331198.2298,7688590.2051,26,N 8,Route du littoral,90 km/h,Région Réunion (CRGT),25/06/2020, 
335800.59,7690923.92,27,N 1,Route du littoral,90 km/h,Région Réunion (CRGT),25/06/2020, 
334741.5369,7690537.5423,28,N 1,Route du littoral,90 km/h,Région Réunion (CRGT),25/06/2020, 
334079.0189,7690368.2086,29,N 1,Route du littoral,90 km/h,Région Réunion (CRGT),25/06/2020, 
333007.9835,7690044.358,30,N 1,Route du littoral,70 km/h,Région Réunion (CRGT),25/06/2020, 
332343.3488,7689356.4399,31,N 7,Route du littoral,90 km/h,Région Réunion (CRGT),25/06/2020, 
