Filière,Raison sociale,SIRET,Immatriculation,Code NAF,Catégorie d'acteur,Type de déclarant,Adresse 1,Adresse 2,Adresse 3,Code Dept,Code Région,CP,Ville,Pays
DBPS,AFEP MARINE EVOLUTION,79498936800012,FR028025,3012Z,Déclarant individuel,Producteur,50  rue Senac de Meilhan,,,17,75,17000,LA ROCHELLE,FRANCE
DBPS,AGP TRANSPORT BATEAUX,47882413900024,FR028032,5020Z,Déclarant individuel,Producteur,5776  avenue Lou Mistraou,,,83,93,83230,BORMES LES MIMOSAS,FRANCE
DBPS,ALIZE ELECTRONIC,37779896200017,FR028017,3315Z,Déclarant individuel,Producteur,77  Chemin de l'Oumède,,,04,93,04800,GREOUX LES BAINS,FRANCE
DBPS,ALLURES YACHTING,50784316700010,FR028005,3012Z,Déclarant individuel,Producteur,420  rue de la Pyrotechnie,,,50,28,50100,CHERBOURG EN COTENTIN,FRANCE
DBPS,ALUBAT CHANTIER,79908975000019,FR028068,3012Z,Déclarant individuel,Producteur,ZI Les Plesses,"42, avenue Louis Bréguet",,85,52,85180,CHATEAU D OLONNE,FRANCE
DBPS,AMICO,81768999500014,FR028044,3012Z,Déclarant individuel,Producteur,ZA la Tabarière  RN 160,,,85,52,85140,LA MERLATIERE,FRANCE
DBPS,ASTUSBOATS,45398182100029,FR028026,3012Z,Déclarant individuel,Producteur,LA CRANIC,,,56,53,56400,BRECH,FRANCE
DBPS,ATELIER COMPOSITE DE LA BAIE,42459114700022,FR028014,2229A,Déclarant individuel,Producteur,Creach ar Gall,,,29,53,29250,ST POL DE LEON,FRANCE
DBPS,B2 MARINE,33518446100036,FR028011,3012Z,Déclarant individuel,Producteur,Parc des activités des Augustin,,,33,75,33360,LATRESNE,FRANCE
DBPS,BASS BOAT EUROPE,44122456500032,FR028049,4764Z,Déclarant individuel,Producteur,26  rue Jacquard,,,69,84,69680,CHASSIEU,FRANCE
DBPS,BAT MARINE SARL,45156802600012,FR028028,4764Z,Déclarant individuel,Producteur,Porte de la Vigne,,,33,75,33970,LEGE CAP FERRET,FRANCE
DBPS,BEACHER CONCEPT II,83427597600019,FR028066,3012Z,Déclarant individuel,Producteur,322 Allée de Bordeaux,,,33,75,33470,GUJAN MESTRAS,FRANCE
DBPS,BEFOIL,50960304900032,FR028161,7219Z,Déclarant individuel,Producteur,1b  rue de l'Industrie,,,56,53,56100,LORIENT,FRANCE
