 Hauts-de-France par EPCI 2019,
,
Code,Libellé
200018083,CC de Desvres-Samer
200030633,CA du Caudrésis et du Catésis
200033579,CU d'Arras
200035442,CC du Sud-Artois
200037059,CC de la Haute Somme (Combles - Péronne - Roisel)
200040426,CC du Val de l'Oise
200040947,CC de Flandre Intérieure
200040954,CC des Hauts de Flandre
200041960,CC Pévèle-Carembault
200042190,CA de la Porte du Hainaut
200043263,CC Coeur de l'Avesnois
200043321,CC du Pays de Mormal
200043396,CA Maubeuge Val de Sambre
200043404,CC du Sud Avesnois
200043495,CA du Pays de Laon
200044030,CC des 7 Vallées
200044048,CC Osartis Marquion
200044618,CA du Douaisis (CAD)
200066975,CC Senlis Sud Oise
200067965,CA de la Région de Compiègne et de la Basse Automne
200067973,CC Thelloise
200067999,CA du Beauvaisis
200068005,CC de l'Oise Picarde
200068047,CA Creil Sud Oise
200068500,CA de Cambrai
200069029,CA des Deux Baies en Montreuillois
200069037,CA du Pays de Saint-Omer
200069235,CC du Haut Pays du Montreuillois
200069482,CC des Campagnes de l'Artois
200069672,CC du Ternois
200069722,CC interrégionale Aumale - Blangy-sur-Bresle
200070928,CC Terre de Picardie
200070936,CC Ponthieu-Marquenterre
200070944,CC du Vimeu
200070951,CC du Territoire Nord Picardie
200070969,CC Avre Luce Noye
200070977,CC du Grand Roye
200070985,CC de l'Est de la Somme
200070993,CA de la Baie de Somme
200071181,CC Somme Sud-Ouest
200071223,CC Nièvre et Somme
200071769,CC Picardie des Châteaux
200071785,CA Chauny Tergnier La Fère
200071892,CA du Saint-Quentinois
200071983,CC Thiérache Sambre et Oise
200071991,CC Retz en Valois
200072031,CA de la Région de Château-Thierry
200072460,CA de Béthune-Bruay, Artois-Lys Romane
200072478,CC Pays d'Opale
240200444,CC de la Thiérache du Centre
240200469,CC du Pays de la Serre
240200477,CA GrandSoissons Agglomération
240200493,CC du Pays du Vermandois
240200501,CC du Val de l'Aisne
240200519,CC du Canton d'Oulchy le Château
240200576,CC de la Champagne Picarde
240200584,CC du Canton de Charly sur Marne
240200592,CC du Chemin des Dames
240200600,CC des Trois Rivières
240200634,CC des Portes de la Thiérache
245900410,Métropole Européenne de Lille
245900428,CU de Dunkerque
245900758,CC Flandre Lys
245901038,CC du Pays Solesmois
245901061,CC de la Haute Deûle
245901152,CC Coeur d'Ostrevent (CCCO)
245901160,CA Valenciennes Métropole
246000129,CC du Liancourtois
246000376,CC du Clermontois
246000566,CC du Plateau Picard
246000582,CC des Sablons
246000707,CC du Vexin-Thelle
246000749,CC des Lisières de l'Oise
246000756,CC du Pays Noyonnais
246000764,CC de l'Aire Cantilienne
246000772,CC des Deux Vallées
246000848,CC de la Picardie Verte
246000855,CC du Pays des Sources
246000871,CC du Pays de Valois
246000897,CC de la Plaine d'Estrées
246000913,CC du Pays de Bray
246000921,CC des Pays d'Oise et d'Halatte
246200299,CA d'Hénin-Carvin
246200364,CA de Lens - Liévin
246200380,CC de la Terre des Deux Caps
246200729,CA du Boulonnais
246200844,CC de la Région d'Audruicq
246201016,CC du Pays de Lumbres
246201149,CA du Calaisis
247600588,CC des Villes Soeurs
248000499,CC du Val de Somme
248000531,CA Amiens Métropole
248000747,CC du Pays du Coquelicot
