X,Y,FID,genre,nom,educprio,ancienom,site_pre,tps,adresse,type,export,source
339456.9576,7689931.9089,1,Collège,Saint-Michel, , , , ,"28, Rue Monseigneur de Beaumont - 97400 Saint-Denis",Privé,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339168.14,7689267.41,2,Ecole maternelle,Les Camélias,REP+, , , ,"6, Rue Nicole de la Serve - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
337989.56,7688869.3646,3,Enseignement supérieur,Ecole Superieur du Professorat et de l'Education(E.S.P.E), ,I.U.F.M. (Institut Universitaire de Formation des Maîtres), , ,"1, Allée des Aigues Marines - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
343596.89,7689507.52,4,Collège,Labourdonnais,REP+, , , ,"40, Rue Gabriel de Kerveguen - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339038.23,7689792.25,5,Collège,Bourbon,REP+, , , ,"189, Rue Jean Chatel - 168, Rue Juliette Dodu-97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
337995.36,7690339.59,6,Ecole maternelle,Petite-Ile,REP, , , ,"18, Place Monseigneur Armand-René Maupoint - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338242.61,7688114.25,7,Ecole élémentaire,Les Topazes,REP,canal brule, , ,Allée des Topazes PK3 Bellepierre - 97400 Saint-Denis,Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339504.33,7690129.47,8,Ecole maternelle,Gisèle Calmy, ,parc montreuil, , ,"107 bis, rue Sainte-Marie - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342104.83,7688361.44,9,Ecole maternelle,Les Tamarins,REP, ,NON,OUI,"78, rue Lacroix - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
341005.6,7684432.27,10,Ecole primaire,Piton Bois De Nefles, , , , ,"173, route Piton Bois de Nèfles - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
340865.11,7688159.32,11,Ecole maternelle,Montgaillard,REP+, , , ,"43, rue du Stade - Montgaillard - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
343853.3721,7689106.2714,12,Centre de formation,C.C.I. (Chambres de Commerce et d'Industrie) - Pôle formation Nord, , , , ,"10, Rue Gabriel de Kerveguen - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
341372.0667,7688347.2517,13,Centre de formation,C.F.A. (Centre de Formation des Apprentis), , , , ,"4, Rue des Artisans - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339562.1308,7688881.0597,14,Ecole maternelle,Providence,REP+, ,NON,OUI,"33 bis, Bd de la Providence - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
344142.73,7688335.7,15,Ecole primaire,Prima, , ,NON,OUI,"30, rue du Stade de l'Est - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
340353.16,7688918.65,16,Ecole élémentaire,Candide Azéma B,REP+, , , ,"28, Boulevard de la Trinité - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
333526.72,7687029.99,17,Ecole élémentaire,Saint-Bernard, , , , ,69 Chemin du Père Raimbault - 97417 La Montagne,Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342418.2473,7689055.1388,18,Ecole maternelle,Michel Debré,REP+, ,NON,OUI,"8, Rue Indiana - 97490 Ste Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
340349.19,7688886.22,19,Ecole élémentaire,Candide Azéma A,REP+, , , ,Rue Victor Hugo - 97400 Saint-Denis,Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
343093.51,7688698.66,20,Ecole élémentaire,Damase Legros,REP+, , , ,"16, rue de la Gare - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
343368.07,7686176.87,21,Ecole maternelle,Aurore, , , , ," 152, route Gabriel Macé",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342419.0728,7689020.8832,22,Ecole élémentaire,Michel Debré,REP+, , , ,"3, rue Bridet - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338434.71,7689918.25,23,Collège,Jules Reydellet,REP, , , ,"107, Rue de la République - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
344717.45,7686864.44,24,Ecole élémentaire,Domenjod, , , , ,"45, route de Domenjod -- 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
344386.69,7686957.24,25,Collège,Les Mascareignes, , , , ,"3, Chemin du Case, - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339129.47,7689280.78,26,Ecole élémentaire,Raymond Mondon,REP+,camelias garcons, , ,65 rue Ruisseau des Noirs - 97400 Saint-Denis,Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
335888.99,7689293.44,27,Ecole maternelle,Montagne 8ème, , ,NON,OUI,"5 bis, chemin Bailly - 97417 La Montagne",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342565.8,7683945.16,28,Ecole primaire,Maxime Laope, ,bellevue, , ,"2, chemin du Finistère - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339967.51,7688636.92,29,Ecole maternelle,Francoise Mollard,REP+,candide azema I,NON,OUI,"54, Rue de la Maternelle - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339132.55,7690828.64,30,Ecole primaire,Ancien Théâtre, , , , ,"73, rue Alexis de Villeneuve - 5 Rue Charles Gounod",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
340297.81,7689637.2,31,Ecole maternelle,Vauban 1,REP+, ,NON,OUI,"1, Boulevard Vauban - 97400 Saint Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338298.47,7688147.5,32,Ecole maternelle,Les Rubis,REP,canal brule, , ,"45, allée des Rubis - Bellepierre - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338675.3,7689285.66,33,Ecole élémentaire,Gabriel Macé,REP+, , , ,Rue de la Source - 97400 Saint-Denis,Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342569.96,7686303.15,34,Ecole élémentaire,Alain Lorraine, , , , ,"91,Allée des Tulipes - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342551.16,7686374.15,35,Ecole maternelle,Les Tulipiers, , ,NON,OUI,"89,Allée des Tulipes - Le Moufia - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338356.83,7690101.99,36,Ecole maternelle,La Rivière 2,REP, ,NON,OUI,"43 Bis, Rue Antoine Picard - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339793.16,7686183.42,37,Ecole maternelle,St Francois Pk7,REP+, ,NON,OUI,"137, Route de Saint François - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339916.27,7688618.71,38,Ecole maternelle,Jean de La Fontaine, ,candide azema II, , ,"54, Rue de la Maternelle 97400 Saint Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
333658.24,7686903.69,39,Ecole maternelle,Montagne 15ème, , ,NON,OUI,"59, Rue du Père Raimbault - 97417 La Montagne",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339773.58,7685976.09,40,Ecole élémentaire,St Francois Pk7,REP+, , , ,"10, Allée des Ecoles - 97400 Saint Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
343376.41,7685370.17,41,Ecole primaire,Philibert Commerson, , ,NON,OUI,"252, route Gabriel Macé - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
343134.56,7688751.09,42,Ecole maternelle,Damase Legros,REP+, , , ,"14, rue de la Gare - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
341846.8517,7686873.2525,43,Lycée,Mémona Hintermann - Afféjee (Lycée Nord), ,Lycée Nord, , ,"1, Rue des Franciscéas - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
341734.35,7689101.55,44,Ecole élémentaire,Les Lilas - Bois Noirs,REP+, , , ,"4, rue de la Cure - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342458.58,7688214.84,45,Collège,Les Alizées,REP, , , ,"70, Avenue Joseph Bédier -  97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
341910.4963,7689357.4706,46,Ecole primaire,Catholique Sainte-Clotilde, , , , ,"45, Avenue Desbasyns - 97490 Ste-Clotilde",Privé,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338223.01,7689741.28,47,Ecole maternelle,Ylang-Ylang,REP, ,NON,OUI,"15, rue de la Digue - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339233.08,7689260.76,48,Ecole élémentaire,Les Camélias,REP+,camelias filles, , ,"5, Rue Nicole de la Serve - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342146.42,7687179.56,49,Ecole élémentaire,Les Bancouliers, , , , ,"6, allée des Kentias - Le Moufia - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342373.7513,7687984.7817,50,Enseignement supérieur,Université de La Réunion, , , , ,"15, Avenue René Cassin",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339000.04,7690373.5694,51,Ecole primaire,La Medersa, , , , ,99 Rue Juliette Dodu-97400 SAINT-DENIS,Privé,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338066.7388,7690315.5875,52,Ecole primaire,Iris Hoareau, , , , ,23 Rue de la Petite Ile- 97400 Saint-Denis,Privé,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338464.27,7688711.93,53,Ecole primaire,Application Bellepierre,REP, , , ,12 rue des Saphirs - Bellepierre - 97400 Saint-Denis,Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338824.3883,7689438.5404,54,Ecole primaire,Hopital d'Enfant, , , , ,"60 Rue Bertin, Saint-Denis 97400",Privé,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
336236.3975,7689292.9502,55,Ecole primaire,Saint-Gabriel, , , , ,32 route des Palmiers Pk8 97417 Saint-Denis,Privé,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342514.08,7688552.61,56,Ecole maternelle,Herbinière Lebert,REP, , , ,"62, avenue Joseph Bédier - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342126.05,7688417.08,57,Ecole élémentaire,Les Tamarins,REP, , , ,"109, rue Lory les Hauts - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342180.9569,7687768.9273,58, ,Rectorat, , , , ,"24, Avenue Georges Brassens - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338991.24,7688922.62,59,Ecole maternelle,La Source,REP+, ,NON,OUI,60 Bd de la Source - 97400 Saint-Denis,Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
