code_zone,lib_zone,date_ech,date_dif,polluant,code_pol,lib_pol,etat,source,couleur,com_court,com_long,id,ESRI_OID,Shape__Area,Shape__Length
18,CHER,2021/01/09 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13105,1,7292985466,596865.016705076
28,EURE-ET-LOIR,2021/01/09 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13106,2,5927309047,569971.643751021
36,INDRE,2021/01/09 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13107,3,6886626765.5,538640.680355598
37,INDRE-ET-LOIRE,2021/01/09 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13108,4,6146936907,521658.663145014
41,LOIR-ET-CHER,2021/01/09 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13109,5,6411859042.5,668328.122191185
45,LOIRET,2021/01/09 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13110,6,6804336827,619225.461380519
18,CHER,2021/01/09 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13111,7,7292985466,596865.016705076
28,EURE-ET-LOIR,2021/01/09 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13112,8,5927309047,569971.643751021
36,INDRE,2021/01/09 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13113,9,6886626765.5,538640.680355598
37,INDRE-ET-LOIRE,2021/01/09 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13114,10,6146936907,521658.663145014
41,LOIR-ET-CHER,2021/01/09 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13115,11,6411859042.5,668328.122191185
45,LOIRET,2021/01/09 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13116,12,6804336827,619225.461380519
18,CHER,2021/01/10 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13117,13,7292985466,596865.016705076
28,EURE-ET-LOIR,2021/01/10 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13118,14,5927309047,569971.643751021
36,INDRE,2021/01/10 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13119,15,6886626765.5,538640.680355598
37,INDRE-ET-LOIRE,2021/01/10 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13120,16,6146936907,521658.663145014
41,LOIR-ET-CHER,2021/01/10 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13121,17,6411859042.5,668328.122191185
45,LOIRET,2021/01/10 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13122,18,6804336827,619225.461380519
18,CHER,2021/01/10 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13123,19,7292985466,596865.016705076
28,EURE-ET-LOIR,2021/01/10 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13124,20,5927309047,569971.643751021
36,INDRE,2021/01/10 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13125,21,6886626765.5,538640.680355598
37,INDRE-ET-LOIRE,2021/01/10 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13126,22,6146936907,521658.663145014
41,LOIR-ET-CHER,2021/01/10 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13127,23,6411859042.5,668328.122191185
45,LOIRET,2021/01/10 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13128,24,6804336827,619225.461380519
