objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
729,90010,BELFORT,2020/01/29 00:00:00+00, ,5621.58552744,1600.65516220828
730,90034,DENNEY,2020/01/29 00:00:00+00, ,5242.57214228,1062.72317055262
731,90002,ARGIESANS,2020/01/29 00:00:00+00, ,2463.892880855,312.070716893238
732,90072,MORVILLARS,2020/01/29 00:00:00+00, ,85.91663927,38.2219717498596
733,90037,ELOIE,2020/01/29 00:00:00+00, ,548.72327306,184.951064858191
734,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,1356.09171021,371.14864446457
736,90001,ANDELNANS,2020/01/29 00:00:00+00, ,13572.3180243,3320.35352797901
737,90010,BELFORT,2020/01/29 00:00:00+00,Pont,295.186344725,76.4819040978041
738,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,5655.859314885,1653.72238572803
739,90010,BELFORT,2020/01/29 00:00:00+00, ,2213.345028555,350.639952736206
740,90093,SERMAMAGNY,2020/01/29 00:00:00+00, ,1644.176705195,275.878938340224
741,90010,BELFORT,2020/01/29 00:00:00+00, ,754.99568791,172.030509795553
742,90010,BELFORT,2020/01/29 00:00:00+00, ,5769.931722905,1263.72210601801
743,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,10782.779905735,2124.50426965921
744,90068,MEROUX,2020/01/29 00:00:00+00, ,16.7582403,21.6996794202189
745,90010,BELFORT,2020/01/29 00:00:00+00, ,3484.76713801,730.901925138959
747,90001,ANDELNANS,2020/01/29 00:00:00+00, ,3460.537129585,1094.73732834577
749,90010,BELFORT,2020/01/29 00:00:00+00, ,2193.35087407,392.704678749053
750,90010,BELFORT,2020/01/29 00:00:00+00, ,3369.550058415,776.159636938198
751,90010,BELFORT,2020/01/29 00:00:00+00, ,646.1129491,251.902019310812
752,90010,BELFORT,2020/01/29 00:00:00+00, ,5115.1352005,926.583838129751
753,90001,ANDELNANS,2020/01/29 00:00:00+00, ,48041.51746034,12961.5637560913
755,90072,MORVILLARS,2020/01/29 00:00:00+00, ,52417.8962707,11280.5391657918
756,90010,BELFORT,2020/01/29 00:00:00+00, ,11463.790686875,1895.16626159006
757,90010,BELFORT,2020/01/29 00:00:00+00, ,3028.91521828,855.798102983832
759,90010,BELFORT,2020/01/29 00:00:00+00, ,2316.381252155,421.073339621803
760,90010,BELFORT,2020/01/29 00:00:00+00, ,942.10777751,254.594939573151
761,90010,BELFORT,2020/01/29 00:00:00+00, ,7249.60344065,1088.37322736682
762,90010,BELFORT,2020/01/29 00:00:00+00, ,627.017291635,164.539788100129
763,90010,BELFORT,2020/01/29 00:00:00+00, ,7228.03071289,1402.7082699442
764,90010,BELFORT,2020/01/29 00:00:00+00, ,2982.014338915,439.539681077487
765,90010,BELFORT,2020/01/29 00:00:00+00, ,2381.81099467,489.036566345963
767,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,1945.352505715,297.380409865101
768,90010,BELFORT,2020/01/29 00:00:00+00, ,535.19903764,534.475891660198
769,90010,BELFORT,2020/01/29 00:00:00+00, ,2695.21764222,567.226787222535
770,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,22116.7119818,4862.82292716085
772,90087,ROPPE,2020/01/29 00:00:00+00, ,2654.841046745,898.827387935602
773,90010,BELFORT,2020/01/29 00:00:00+00, ,8008.100342795,1411.03501215421
774,90010,BELFORT,2020/01/29 00:00:00+00, ,7932.874587975,919.8212423353
775,90026,CHEVREMONT,2020/01/29 00:00:00+00, ,15110.77283947,4016.45292583974
776,90010,BELFORT,2020/01/29 00:00:00+00, ,5093.906512425,1714.59692681521
777,90010,BELFORT,2020/01/29 00:00:00+00, ,7416.389266185,1721.21157466508
778,90032,DANJOUTIN,2020/01/29 00:00:00+00, ,1626.67305934,162.883639050474
779,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,472.598960725,113.642810717062
780,90010,BELFORT,2020/01/29 00:00:00+00, ,827.98835924,218.187532882065
781,90010,BELFORT,2020/01/29 00:00:00+00, ,2778.754902715,587.139441780081
783,90010,BELFORT,2020/01/29 00:00:00+00, ,41196.289208955,5644.28251893326
785,90032,DANJOUTIN,2020/01/29 00:00:00+00, ,8246.14378286,1556.04639559991
786,90087,ROPPE,2020/01/29 00:00:00+00, ,1691.301187175,439.750722799215
787,90010,BELFORT,2020/01/29 00:00:00+00,Pont,359.111071135,118.276533703935
788,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,8787.861642675,2149.84445836438
789,90011,BERMONT,2020/01/29 00:00:00+00, ,146306.227471325,22597.022432374
790,90002,ARGIESANS,2020/01/29 00:00:00+00, ,8396.267459205,2297.36085407959
791,90026,CHEVREMONT,2020/01/29 00:00:00+00, ,391.176365525,118.269770901871
792,90010,BELFORT,2020/01/29 00:00:00+00, ,1782.148535435,304.454718078866
794,90010,BELFORT,2020/01/29 00:00:00+00, ,5325.48906695,1340.25304848789
795,90026,CHEVREMONT,2020/01/29 00:00:00+00, ,6666.70418893,1604.14989721435
796,90039,ESSERT,2020/01/29 00:00:00+00,Pont,258.13952118,70.3701303272043
797,90075,OFFEMONT,2020/01/29 00:00:00+00, ,226.549220465,89.2827621428445
798,90010,BELFORT,2020/01/29 00:00:00+00, ,2858.135498215,792.996049095659
799,90002,ARGIESANS,2020/01/29 00:00:00+00, ,2957.714360375,916.617080119272
800,90072,MORVILLARS,2020/01/29 00:00:00+00, ,3106.701745415,227.251111329476
801,90010,BELFORT,2020/01/29 00:00:00+00,Pont,146.490147245,71.34109378864
802,90001,ANDELNANS,2020/01/29 00:00:00+00,Pont,430.21447894,112.677940524188
803,90010,BELFORT,2020/01/29 00:00:00+00, ,820.577185635,225.352613143388
804,90093,SERMAMAGNY,2020/01/29 00:00:00+00, ,599.704322305,143.008961417556
