FID,id,nom_dept,nom_com,insee_com,nom_station,station_ue,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_reglementaire,y_reglementaire,x_wgs84,y_wgs84,epsg_reg,geom
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-2701,1,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,NOX as NO2,9,17.10000038,µg/m3,annuelle,2020-01-01T00:00:00,2020-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-2700,2,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,NOX as NO2,9,20.5,µg/m3,annuelle,2019-01-01T00:00:00,2019-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26ff,3,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,NOX as NO2,9,18,µg/m3,annuelle,2018-01-01T00:00:00,2018-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26fe,4,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,NOX as NO2,9,24.29999924,µg/m3,annuelle,2017-01-01T00:00:00,2017-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26fd,5,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,NOX as NO2,9,24.79999924,µg/m3,annuelle,2016-01-01T00:00:00,2016-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26fc,6,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,NO2,8,11.5,µg/m3,annuelle,2020-01-01T00:00:00,2020-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26fb,7,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,NO2,8,15.10000038,µg/m3,annuelle,2019-01-01T00:00:00,2019-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26fa,8,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,NO2,8,13.5,µg/m3,annuelle,2018-01-01T00:00:00,2018-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26f9,9,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,NO2,8,15,µg/m3,annuelle,2017-01-01T00:00:00,2017-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26f8,10,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,NO2,8,15.30000019,µg/m3,annuelle,2016-01-01T00:00:00,2016-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26f7,11,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,PM2.5,6001,6.9000001,µg/m3,annuelle,2020-01-01T00:00:00,2020-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26f6,12,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,PM2.5,6001,6.80000019,µg/m3,annuelle,2019-01-01T00:00:00,2019-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26f5,13,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,PM2.5,6001,8.19999981,µg/m3,annuelle,2018-01-01T00:00:00,2018-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26f4,14,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,PM2.5,6001,10.10000038,µg/m3,annuelle,2017-01-01T00:00:00,2017-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26f3,15,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,PM2.5,6001,11.89999962,µg/m3,annuelle,2016-01-01T00:00:00,2016-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26f2,16,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,O3,7,57,µg/m3,annuelle,2020-01-01T00:00:00,2020-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26f1,17,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,O3,7,59.79999924,µg/m3,annuelle,2019-01-01T00:00:00,2019-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26f0,18,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,O3,7,60.40000153,µg/m3,annuelle,2018-01-01T00:00:00,2018-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26ef,19,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,O3,7,52.59999847,µg/m3,annuelle,2017-01-01T00:00:00,2017-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
mes_bfc_annuelle_poll_princ.fid--701b5092_17777c75dbd_-26ee,20,COTE-D'OR,Dijon,21231,Station PEJOCES,FR26005,Periurbaine,De fond,O3,7,48.29999924,µg/m3,annuelle,2016-01-01T00:00:00,2016-12-31T23:59:00,true,856068,6691713.5,5.06588078,47.30736923,2154,POINT (856068.0270711984 6691713.554406408)
