nom;adresse;CP;commune;"commune (COG)";département;région;"région (COG)";"longitude (X)";"latitude (Y)";"handicap principal";"lien site onisep.fr"
"Nous aussi";"BP 310";75876;Paris;75100;"75 - Paris";Ile-de-France;11;2.344;48.892;"Handicap mental";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2707
"Association spina-bifida et handicaps associés";"3 bis avenue Ardouin - BP 92";94420;"Le Plessis-Trévise";94059;"94 - Val-de-Marne";Ile-de-France;11;2.5721499919891;48.810821533203;"Handicap moteur";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2755
Advocacy-France;"5 place des fêtes";75019;Paris;75100;"75 - Paris";Ile-de-France;11;2.3929674;48.8774421;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1925
"Alliance maladies rares";"96 rue Didot";75014;Paris;75100;"75 - Paris";Ile-de-France;11;2.3143482;48.827305;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2753
"Association de gestion du fonds pour l'insertion professionnelle des personnes handicapées";"192 avenue Aristide Briand";92226;Bagneux;92007;"92 - Hauts-de-Seine";Ile-de-France;11;2.3003599643707;48.794620513916;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2199
"Association des Itep et leurs réseaux";"15 rue Albert";75214;Paris;75100;"75 - Paris";Ile-de-France;11;2.3729838;48.8242961;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2426
"Association française des personnes souffrant de troubles obsessionnels et compulsifs";"71 bis rue de la République";38450;Vif;38545;"38 - Isère";Auvergne-Rhône-Alpes;84;5.6695539;45.0559153;"Troubles multiples associés";www.onisep.fr/http/redirection/organisme_information/slug/INFO.240
"Association nationale des directeurs et cadres d'ESAT";"12 rue Mayran";75009;Paris;75100;"75 - Paris";Ile-de-France;11;2.3448234;48.8773654;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2885
"Association pour l'insertion sociale et professionnelle des personnes handicapées physiques";"14 rue Scandicci";93508;Pantin;93055;"93 - Seine-Saint-Denis";Ile-de-France;11;2.4016799926758;48.896579742432;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2582
"Caisse centrale de la mutuelle sociale agricole";"19 rue de Paris";93000;Bobigny;93008;"93 - Seine-Saint-Denis";Ile-de-France;11;2.4272136;48.8959226;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.600
"Conseil national handicap";"8 avenue de l'Opéra";75001;Paris;75100;"75 - Paris";Ile-de-France;11;2.3350211;48.8646849;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2381
"Droit Pluriel";"47 avenue Pasteur";93100;Montreuil;93048;"93 - Seine-Saint-Denis";Ile-de-France;11;2.437187;48.865498;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2980
"Fédération des associations nationales pour les enfants intellectuellement précoces";"7 rue de la providence";6300;Nice;06088;"06 - Alpes-Maritimes";"Provence-Alpes-Côte d'Azur";93;7.2790761;43.6984146;"Troubles spécifiques du langage et des apprentissages";www.onisep.fr/http/redirection/organisme_information/slug/INFO.58
