"code CNIS";"sigle type formation";"libellé type formation";"libellé formation principal";"libellé formation complémentaire";"sigle formation";durée;"code RNCP";"niveau RNCP";"libellé niveau RNCP";tutelle;"lien site onisep.fr";domaine/sous-domaine
200;;"formation d'école spécialisée";"Art, design et luxe";;;"5 ans";;0;"non inscrit au RNCP";;http://www.onisep.fr/http/redirection/formation/slug/FOR.819;"arts, culture, artisanat/arts graphiques"
200;"mastère spé.";"mastère spécialisé";"mastère spé. Management de la qualité (Arts et Métiers ParisTech - ENSAM)";;;"1 an";;0;"non inscrit au RNCP";;http://www.onisep.fr/http/redirection/formation/slug/FOR.1254;"matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/maintenance - qualité"
200;;"formation d'école spécialisée";"Expert en management de projets industriels et en excellence opérationnelle";;;"1 an";;1;"niveau 7 (bac + 5)";;http://www.onisep.fr/http/redirection/formation/slug/FOR.726;"matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/génie industriel ; matières premières, fabrication, industries/maintenance - qualité ; matières premières, fabrication, industries/méthodes industrialisation ; armée, sécurité/sécurité prévention"
200;;master;"master mention ingénierie des systèmes complexes";;;"2 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5116;"matières premières, fabrication, industries/génie industriel"
200;;"licence professionnelle";"licence pro mention maintenance et technologie : contrôle industriel";;;"1 an";;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5184;"matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/maintenance - qualité"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'Institut national des sciences appliquées de Rouen spécialité génie mathématique";;INSA;"5 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5374;"gestion des entreprises, comptabilité/administration de l'entreprise ; informatique, internet/informatique (généralités) ; sciences/mathématiques"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École centrale de Lille spécialité génie industriel et entrepreneurial";;ITEEM;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5789;"gestion des entreprises, comptabilité/administration de l'entreprise ; environnement - énergies - propreté/environnement (généralités) ; matières premières, fabrication, industries/génie industriel ; logistique - transport/logistique ; mécanique/mécanique (généralités) ; informatique, internet/systèmes et réseaux ; électricité - électronique - robotique/télécommunications ; logistique - transport/transport"
200;;master;"master mention génie industriel";;;"2 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5097;"matières premières, fabrication, industries/génie industriel"
200;;"licence professionnelle";"licence pro mention métiers de l'emballage et du conditionnement";;;"1 an";;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5219;"logistique - transport/logistique"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École polytechnique universitaire de Lille de l'Université de Lille spécialité génie industriel en partenariat avec l'ITII Nord Pas de Calais";;Polytech;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5837;"environnement - énergies - propreté/déchets, pollutions et risques ; matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/génie industriel ; logistique - transport/logistique ; matières premières, fabrication, industries/maintenance - qualité ; matières premières, fabrication, industries/méthodes industrialisation"
