id;f_label;t_label;type_voie;type_block;vitesse_ma;type_voie2;long_m
1;PROUVY-THIANT;LOURCHES;VDE;BM;90;VDE;11910
2;COMINES;LA MADELEINE;VU;BM;60;VU;14753
3;;;VD;;0;;76660
4;VALENCIENNES;PROUVY-THIANT;VDE;BA;90;VDE;7035
5;ASCQ;ORCHIES;VU;BM;60;VU;18794
6;DON-SAINGHIN;BETHUNE;VDE;BA;110;VD;22173
7;ETAPLES-LE TOUQUET;ST-POL-SUR-TERNOISE;VU;BM;100;VU;62335
8;BETHUNE;ST-POL-SUR-TERNOISE;VU;BM;80;VU;31807
9;ST-POL-SUR-TERNOISE;ARRAS;VU;BM;100;VU;38840
10;ARLEUX;CAMBRAI-VILLE;VUE;BM;100;VD;18123
11;SIN-LE-NOBLE;ARLEUX;VUE;BM;90;VD;8272
12;;;VU;;0;;22322
13;;;VU;;0;;54925
14;;;VD;;0;;8717
15;;;VU;;0;;1408
16;;;VU;;0;;43266
17;;;;;;;14
18;;;VU;;;;93763
19;;;VU;;;;33391
20;;;VD;;0;;46828
21;;;VD;;0;;1981
