oid,code,libelle,surf_m2
108749,2111,Terres arables,57528601
100297,2111,Terres arables,40558331
97888,2111,Terres arables,18027147
97914,2111,Terres arables,6553001
98092,2111,Terres arables,45424
98155,2111,Terres arables,3681468
98187,2111,Terres arables,214871862
98229,2111,Terres arables,2410920
98279,2111,Terres arables,11360346
98592,2111,Terres arables,1522739
98823,2111,Terres arables,9429968
98964,2111,Terres arables,417465562
99116,2111,Terres arables,46873
99091,2111,Terres arables,37564867
99140,2111,Terres arables,12594644
99149,2111,Terres arables,5103614
99178,2111,Terres arables,5400022
99195,2111,Terres arables,3489297
99286,2111,Terres arables,91393918
99322,2111,Terres arables,17572077
99433,2111,Terres arables,321782006
99512,2111,Terres arables,44103131
99458,2111,Terres arables,5029124
99559,2111,Terres arables,8167236
102978,2111,Terres arables,3647738
99669,2111,Terres arables,9775040
100056,2111,Terres arables,20445666
100130,2111,Terres arables,15187872
100650,2111,Terres arables,4472576
100248,2111,Terres arables,4546728
100260,2111,Terres arables,14267403
100353,2111,Terres arables,4913913
100356,2111,Terres arables,6511660
100379,2111,Terres arables,4211125
100549,2111,Terres arables,14583984
100478,2111,Terres arables,10601
100520,2111,Terres arables,8426842
100779,2111,Terres arables,6507958
100900,2111,Terres arables,41217274
100964,2111,Terres arables,101941141
101102,2111,Terres arables,6910009
101144,2111,Terres arables,17836766
101457,2111,Terres arables,151705604
101447,2111,Terres arables,5050
101624,2111,Terres arables,28629113
101643,2111,Terres arables,8870
102498,2111,Terres arables,48454
102689,2111,Terres arables,35510
102967,2111,Terres arables,16051
103050,2111,Terres arables,482098873
103115,2111,Terres arables,13607
104542,2111,Terres arables,232443568
103418,2111,Terres arables,20173635
103882,2111,Terres arables,13988
103997,2111,Terres arables,5806
104121,2111,Terres arables,13387
104469,2111,Terres arables,6224
104529,2111,Terres arables,19383036
104665,2111,Terres arables,4616370
104679,2111,Terres arables,12227
104718,2111,Terres arables,9439304
104722,2111,Terres arables,5225592
104818,2111,Terres arables,17121467
104849,2111,Terres arables,1
104924,2111,Terres arables,83763577
105241,2111,Terres arables,289269934
105251,2111,Terres arables,8921822
105459,2111,Terres arables,950997669
105471,2111,Terres arables,3339
105512,2111,Terres arables,63740724
105556,2111,Terres arables,6346344
105672,2111,Terres arables,11591258
105700,2111,Terres arables,5147462
105814,2111,Terres arables,25155503
105801,2111,Terres arables,6541327
105835,2111,Terres arables,23143999
105936,2111,Terres arables,2776497
105955,2111,Terres arables,6653810
106007,2111,Terres arables,36329212
106161,2111,Terres arables,73098989
106168,2111,Terres arables,42551858
106477,2111,Terres arables,7147105
106793,2111,Terres arables,11508
106816,2111,Terres arables,3146089
106854,2111,Terres arables,904585630
106871,2111,Terres arables,3942994
107179,2111,Terres arables,3039940
107235,2111,Terres arables,4313224
107252,2111,Terres arables,857
107544,2111,Terres arables,5692855
107560,2111,Terres arables,3042038
107664,2111,Terres arables,1862074099
107680,2111,Terres arables,7124325
107898,2111,Terres arables,5351059
107925,2111,Terres arables,14564822
107973,2111,Terres arables,26904046
108096,2111,Terres arables,3087924
108203,2111,Terres arables,9689420
108244,2111,Terres arables,2067
108254,2111,Terres arables,56900799
108379,2111,Terres arables,3023294
108523,2111,Terres arables,11386705
108606,2111,Terres arables,5240124
108625,2111,Terres arables,180160965
108657,2111,Terres arables,4555718
108840,2111,Terres arables,10008
108907,2111,Terres arables,54142924
108987,2111,Terres arables,2212972
108988,2111,Terres arables,4910440
109021,2111,Terres arables,5890
109031,2111,Terres arables,53944710
109101,2111,Terres arables,1989
109171,2111,Terres arables,7552
109226,2111,Terres arables,9344
109217,2111,Terres arables,8737
109230,2111,Terres arables,30803904
109256,2111,Terres arables,13013
109313,2111,Terres arables,4275652
109410,2111,Terres arables,11111
109435,2111,Terres arables,3982
109552,2111,Terres arables,6067
109621,2111,Terres arables,8741
109727,2111,Terres arables,4730464
109754,2111,Terres arables,2693867
109841,2111,Terres arables,2743069
109919,2111,Terres arables,5904292
109993,2111,Terres arables,15508
109997,2111,Terres arables,3329799
110055,2111,Terres arables,44667570
110123,2111,Terres arables,243861062
110137,2111,Terres arables,65015741
110156,2111,Terres arables,4983
110175,2111,Terres arables,1795
110249,2111,Terres arables,6492
110261,2111,Terres arables,1008
110333,2111,Terres arables,44934054
110347,2111,Terres arables,43255194
110463,2111,Terres arables,29521991
110474,2111,Terres arables,12055179
110504,2111,Terres arables,5711105
110573,2111,Terres arables,268198781
110856,2112,"Pépinières, maraichages et serres",18151
111091,2112,"Pépinières, maraichages et serres",1791
111291,2112,"Pépinières, maraichages et serres",4511
111739,2112,"Pépinières, maraichages et serres",1763
111766,2112,"Pépinières, maraichages et serres",2956
111979,2112,"Pépinières, maraichages et serres",1562
112192,2112,"Pépinières, maraichages et serres",2390
112439,2112,"Pépinières, maraichages et serres",8413
112468,2112,"Pépinières, maraichages et serres",12069
112504,2112,"Pépinières, maraichages et serres",4952
112606,2210,Vignobles,2279111
112639,2210,Vignobles,4631109
112655,2220,Autres vergers et petits fruits,5209
113005,2220,Autres vergers et petits fruits,11525
113024,2220,Autres vergers et petits fruits,6187
113612,2220,Autres vergers et petits fruits,7650
113899,2220,Autres vergers et petits fruits,13377
114324,2220,Autres vergers et petits fruits,5450
114511,2220,Autres vergers et petits fruits,28762
114629,2220,Autres vergers et petits fruits,5732
114781,2220,Autres vergers et petits fruits,7005
114847,2220,Autres vergers et petits fruits,1402
114982,2220,Autres vergers et petits fruits,3411
115058,2220,Autres vergers et petits fruits,5447
115122,2220,Autres vergers et petits fruits,2040
115259,2220,Autres vergers et petits fruits,1896
115559,2310,Prairies,5768
115661,2310,Prairies,5931
115757,2310,Prairies,1247776
115890,2310,Prairies,6597
116218,2310,Prairies,6954
116308,2310,Prairies,22247
116649,2310,Prairies,2266
116674,2310,Prairies,8620
116774,2310,Prairies,5146
116789,2310,Prairies,7941
116834,2310,Prairies,5735
116947,2310,Prairies,5867
117059,2310,Prairies,40207
117210,2310,Prairies,5202
117241,2310,Prairies,6973
117346,2310,Prairies,16588
117400,2310,Prairies,7607
117459,2310,Prairies,5815
118209,2310,Prairies,8545
118356,2310,Prairies,8302
118417,2310,Prairies,30901
119026,2310,Prairies,13069
119098,2310,Prairies,6326
119212,2310,Prairies,5422
119343,2310,Prairies,12385
119549,2310,Prairies,7400
120257,2310,Prairies,6019
120346,2310,Prairies,7374
120469,2310,Prairies,2663131
120506,2310,Prairies,37127
121121,2310,Prairies,5633
121373,2310,Prairies,5110
121379,2310,Prairies,8178
121568,2310,Prairies,18802
121597,2310,Prairies,5413
121696,2310,Prairies,1870902
121750,2310,Prairies,1616574
122231,2310,Prairies,7273
122293,2310,Prairies,5056
122424,2310,Prairies,5748
122618,2310,Prairies,10447
122687,2310,Prairies,5311
122749,2310,Prairies,5105
122775,2310,Prairies,7903
122857,2310,Prairies,6070999
122874,2310,Prairies,25595
123306,2310,Prairies,5641
123333,2310,Prairies,12899
123444,2310,Prairies,2097066
123521,2310,Prairies,8049
124050,2310,Prairies,5228
124189,2310,Prairies,6357
124242,2310,Prairies,5487
124238,2310,Prairies,802397
124648,2310,Prairies,1358466
124771,2310,Prairies,8454
124727,2310,Prairies,5874
124768,2310,Prairies,9134
124836,2310,Prairies,11085
124925,2310,Prairies,13154
124939,2310,Prairies,8573415
125276,2310,Prairies,14554
125339,2310,Prairies,8482
125423,2310,Prairies,5062
125501,2310,Prairies,5254
125594,2310,Prairies,19463
125782,2310,Prairies,3301838
125919,2310,Prairies,10425
125928,2310,Prairies,8650
125955,2310,Prairies,2276051
125968,2310,Prairies,7028
126050,2310,Prairies,12761
126233,2310,Prairies,6524
126323,2310,Prairies,7953
126355,2310,Prairies,1254651
126438,2310,Prairies,5862
126497,2310,Prairies,7203
126677,2310,Prairies,7914
126748,2310,Prairies,13122
126758,2310,Prairies,16044
127475,2310,Prairies,5995
126906,2310,Prairies,10547
127117,2310,Prairies,9029
132582,2310,Prairies,27124
127061,2310,Prairies,16935
127305,2310,Prairies,6016
127772,2310,Prairies,2417099
128012,2310,Prairies,7400
128267,2310,Prairies,16342
128282,2310,Prairies,5163
128405,2310,Prairies,5103
128542,2310,Prairies,18313
128580,2310,Prairies,8869088
128796,2310,Prairies,5267
128812,2310,Prairies,24540
128876,2310,Prairies,8432
128878,2310,Prairies,7869
128937,2310,Prairies,63035
128944,2310,Prairies,32635
128973,2310,Prairies,53435
129153,2310,Prairies,15719
129189,2310,Prairies,2292655
129320,2310,Prairies,5037
129335,2310,Prairies,7848
129361,2310,Prairies,1947901
129417,2310,Prairies,1872774
129538,2310,Prairies,8031
129667,2310,Prairies,5727
129721,2310,Prairies,2118200
129932,2310,Prairies,5136
130023,2310,Prairies,3464194
130184,2310,Prairies,10123
