id_obst,id_cer,nom_obst,type_obst,lib_obst
FR32OP1,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP2,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP3,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP4,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP5,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP6,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP7,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP8,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP9,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP10,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP11,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP12,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP13,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP14,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP15,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP16,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP17,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP18,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP19,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP20,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP21,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP22,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP23,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP24,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
