Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,LABELS_CLASSEMENT,LABELS_THEMES,CLASSEMENT,CHAINES,LOGIS_CLASSEMENT,LOGIS_THEMES,CAPACITE_NBRE_PERS,OUVERTURE,TARIFS,EQUIPEMENTS,SERVICES
HOTAQU024FS0004U,03/01/2020,Hôtel,"""Rev'Hôtel""",Route de Périgueux,,,Les Chaumes Nord,24600,RIBERAC,24352,+33 5 53 91 62 62,,contact@rev-hotel.fr,http://www.rev-hotel.fr,0.356212,45.252138,Oui,Accès Internet # Câble / satellite # Climatisation / air conditionné # Télévision # Wifi,,,,,2 étoiles,,,,58,01/01/2020|31/12/2020|||||,,Jardin # Jeux pour enfants # Local matériel fermé # Parc # Parking privé # Restauration # Terrasse,Location de vélos # Matériel bébé # Service en chambre # Wifi
HOTAQU024FS0002J,03/01/2020,Hôtel,Abbys hôtel,,,Lieu-dit Vialard,ZAE du Périgord Noir ,24200,SARLAT-LA-CANEDA,24520,+33 5 53 30 85 50,+33 6 07 09 09 22,contact@abbys-hotel.com,http://www.abbys-hotel.com,1.25403837,44.8644856,Oui,Accès Internet # Câble / satellite # Canal + # Climatisation / air conditionné # Sèche-cheveux # Télévision # Terrasse privative # Wifi,,,,,2 étoiles,,,,72,06/01/2020|20/12/2020|||||,"Chambre double|48,00|60,00| # Chambre single|48,00|60,00| # Chambre familiale|67,00|75,00| # Petit-déjeuner|7,50|7,50|",Jardin # Parc # Parking privé # Terrasse,Matériel bébé # Wifi
HOTAQU064FS0006C,31/01/2020,Hôtel,Adonis Hôtel Bayonne,,,Rue Mayzounave Bidea,,64990,LAHONCE,64304,+33 5 59 52 92 28,,infos@adonis-hotel-bayonne.com,http://www.adonis-hotel-bayonne.com, -1.4311389,43.4901491,Oui,Accès Internet # Climatisation / air conditionné # Sèche-cheveux # Wifi,,,,,3 étoiles,,,,182,,,Ascenseur # Local matériel fermé # Parking privé # Restauration,Matériel bébé # Wifi
HOTAQU047FS0004L,31/01/2020,Hôtel,Akena City Agen-Castelculier,,,100 route du Canal,Grabissat,47240,CASTELCULIER,47051,+33 5 53 69 24 80,,agen47@hotels-akena.com,http://www.hotels-akena.com,0.6836003,44.1740368,Oui,Câble / satellite # Canal + # Climatisation / air conditionné # Sèche-cheveux # Télévision # Wifi,,Accueil Vélo # Le Canal des 2 Mers à vélo,,,3 étoiles,Akena,,,111,02/01/2020|29/12/2020|||||,"Chambre double|56,00|82,00| # Chambre familiale|82,00|130,00|chambres de 3 et 4 personnes  # Chambre single|56,00|82,00| # Petit-déjeuner|4,50|7,00|4€ pour les -12 ans # |5,00|5,00|",Ascenseur # Parking privé,Matériel bébé # Wifi
HOTAQU024FS000DU,22/01/2020,Hôtel,Albizia Hôtel,,,route d'Alsace,Prentegarde Nord,24200,SARLAT-LA-CANEDA,24520,+33 5 53 59 10 60,,motel-24@orange.fr,http://www.albiziahotel.com/,1.20464443,44.9292377,Oui,Accès Internet # Climatisation / air conditionné # Coffre # Sèche-cheveux # Télévision # Terrasse privative # Wifi,,,,,2 étoiles,Inter Hôtels,,,108,01/01/2020|31/12/2020|||||,"Chambre double|51,00|79,00| # Petit-déjeuner|6,50|| # |76,00||",Jardin # Local matériel fermé # Parking privé # Salle(s) de réunion # Terrasse,Wifi
HOTAQU064014DA9O,03/01/2020,Hôtel - Restaurant,Alysson Hôtel,,,24 boulevard des Pyrénées,,64400,OLORON-SAINTE-MARIE,64422,+33 5 59 39 70 70,,alysson.hotel@wanadoo.fr,http://www.alysson-hotel.fr, -0.6224446,43.1904079,Oui,Accès Internet # Câble / satellite # Canal + # Climatisation / air conditionné # Coffre # Sèche-cheveux # Télévision # Wifi,Handicap auditif # Handicap mental # Handicap moteur,Hébergement pêche,,,4 étoiles,,,,105,01/01/2020|31/12/2020|||||,"Petit-déjeuner|12,00|12,00| # Chambre single|87,00|125,00| # Chambre double|87,00|125,00|",Ascenseur # Bar # Jardin # Jeux pour enfants # Local matériel fermé # Parc # Parking privé # Piscine # Restauration # Salle de sport # Sauna # Spa / Jacuzzi # Terrasse,Location de vélos # Matériel bébé # Service en chambre # Wifi
HOTAQU033V50JFZ9,03/01/2020,Hôtel - Restaurant,Apparthôtel Les Tilleuls,,,16 allées des Tilleuls,,33490,SAINT-MACAIRE,33435,+33 5 56 62 28 38,+33 6 14 77 47 47,contact@tilleul-medieval.com,http://www.tilleul-medieval.com, -0.2260158,44.5656141,Oui,Accès Internet # Climatisation / air conditionné # Télévision # Terrasse privative # Wifi,,,,,2 étoiles,,,,20,01/01/2020|31/12/2020|||||,"Chambre double|55,00|95,00|Nuitée suivant la saison et le nombre de personnes # Petit-déjeuner|8,50|| # Soirée étape affaires|75,00||",Salle de sport # Spa / Jacuzzi # Terrasse,Location de vélos # Wifi
HOTAQU03301V3EZ3,07/01/2020,Hôtel,Arc-Hôtel sur Mer,,,89 boulevard de la Plage,,33120,ARCACHON,33009,+33 5 56 83 06 85,,reservation@arc-hotel-sur-mer.com,http://www.arc-hotel-sur-mer.com, -1.156259,44.661286,Oui,Accès Internet # Câble / satellite # Climatisation / air conditionné # Coffre # Sèche-cheveux # Télévision # Terrasse privative # Wifi,,,,,3 étoiles,,,,64,01/01/2020|05/01/2020||||| # 01/02/2020|31/12/2020|||||,"Chambre double|98,00|148,00|chambre double/twin basse saison # Chambre double|118,00|168,00|chambre double/twin moyenne saison # Chambre double|178,00|248,00|chambre double/twin haute saison # Petit-déjeuner|6,00|6,00|Petit-déjeuner express # Petit-déjeuner|13,00|13,00|Petit-déjeuner Buffet",Ascenseur # Bar # Hammam # Parking privé # Piscine # Salle de sport # Salle(s) de réunion # Sauna # Spa / Jacuzzi # Terrasse,Matériel bébé # Réservation de prestations annexes # Service en chambre # Vente de produits touristiques # Wifi
HOTAQU064FS0000P,03/01/2020,Hôtel,Atlantic Hôtel,,,222 avenue Jean Mermoz,,64000,PAU,64445,+33 5 59 32 38 24,,atlantic.hotel64@gmail.com,http://www.atlantic-hotel64-pau.com, -0.3783416,43.3191988,Oui,Accès Internet # Câble / satellite # Canal + # Télévision # Wifi,,,,,2 étoiles,Citotel,,,38,06/01/2020|25/12/2020|||||,"Chambre double|55,00|95,00| # Chambre single|45,00|85,00| # Petit-déjeuner|8,50|| # Autre tarif|70,00|75,00|Soirée étape # Autre tarif|||Chambre twin # Autre tarif|||Chambre familiale",Ascenseur # Garage privé # Parking privé,Matériel bébé
HOTAQU033FS0001C,03/01/2020,Hôtel,Au Bon Accueil,,,77 cours Bacalan,,33390,BLAYE,33058,+33 5 57 42 12 98,,,https://hotel-aubonaccueil-blaye.fr, -0.6586249,45.1195039,,Câble / satellite # Télévision # Wifi,,,,,2 étoiles,,,,69,09/01/2020|20/12/2020|||||,"Chambre double|57,00|60,00| # Petit-déjeuner|6,00|4,00|",Ascenseur # Local matériel fermé # Parking privé,Matériel bébé # Wifi
HOTAQU024FS0002D,22/01/2020,Hôtel,Au Grand Hôtel de Sarlat,,,93 avenue de Selves,,24200,SARLAT-LA-CANEDA,24520,+33 5 53 31 50 00,,selves@augrandhotelsarlat.com,www.augrandhotelsarlat.com,1.21464371,44.8951681,Oui,Accès Internet # Câble / satellite # Canal + # Climatisation / air conditionné # Coffre # Mini-bar # Sèche-cheveux # Télévision # Terrasse privative # Wifi,,,,,4 étoiles,Les Collectionneurs,,,104,01/01/2020|21/01/2021||||| # 12/02/2020|31/12/2020|||||,"Chambre double|80,00|263,00| # Chambre single|80,00|263,00| # Chambre familiale|130,00|235,00| # Petit-déjeuner|16,00|| # Chambre double|80,00|263,00|",Ascenseur # Bar # Garage privé # Jardin # Parc # Parking privé # Piscine # Salle de sport # Sauna # Spa / Jacuzzi # Terrasse,Service en chambre # Transport de bagages # Wifi
HOTAQU04001WBDVH,03/01/2020,Hôtel - Restaurant,Auberge Batby,,,63 avenue de Galleben ,,40140,SOUSTONS,40310,+33 5 58 41 18 80,,contact@aubergebatby.fr,http://www.aubergebatby.fr , -1.3372045,43.7583440,Oui,Accès Internet # Canal + # Climatisation / air conditionné # Sèche-cheveux # Télévision # Terrasse privative # Wifi,,,,,3 étoiles,,,,7,01/01/2020|31/12/2020|||||,"Chambre double|85,00|155,00| # Petit-déjeuner|12,00|12,00| # Chambre single|85,00|155,00| # Chambre familiale|120,00|155,00| # |40,00|40,00| # |60,00|60,00|",Bar # Restauration # Terrasse,Location de vélos
HOTAQU064FS0002D,09/01/2020,Hôtel - Restaurant,Auberge Chez Maïté,,,2 rue Bernard de Coral,1 rue Clément Laurencena,64122,URRUGNE,64545,+33 5 59 24 95 50,,stephane-leprevost@wanadoo.fr,https://www.aubergechezmaite.com, -1.6998982,43.3622475,Oui,Accès Internet # Climatisation / air conditionné # Sèche-cheveux # Télévision # Wifi,,,,,3 étoiles,,,,19,01/01/2020|04/10/2020||||| # 12/10/2020|31/12/2020|||||,"Chambre double|80,00|102,00|En fonction de la période de séjour  # Autre tarif|97,00|136,00|Chambre triple # Chambre familiale|116,00|160,00|",Bar # Fronton /Pelote basque # Restauration # Terrasse,Service en chambre
HOTAQU06401ZLU3S,03/01/2020,Hôtel - Restaurant,Auberge de Bidarray Ostapé,,Domaine de Chahatoenia,,,64780,BIDARRAY,64124,+33 5 59 37 91 91,,contact@ostape.com,http://www.ostape.com, -1.3621544,43.2894674,Oui,Accès Internet # Câble / satellite # Canal + # Climatisation / air conditionné # Coffre # Mini-bar # Sèche-cheveux # Télévision # Terrasse privative # Wifi,,,,,5 étoiles,Originals Human Hotels & Resorts,,,44,,Autre tarif|||Demi-pension par jour et par personne # Autre tarif|||Lit supplémentaire # Autre tarif|||Supplément animaux admis,Bar # Hammam # Jardin # Parc # Parking privé # Piscine # Restauration # Salle de sport # Sauna # Spa / Jacuzzi # Terrasse,Location de vélos # Matériel bébé # Service en chambre # Wifi
HOTAQU024FS0002K,03/01/2020,Hôtel,Auberge de Castel Merle,,,,Castel Merle,24290,SERGEAC,24531,+33 5 53 50 70 08,,hotelcastelmerle@yahoo.fr,http://www.hotelcastelmerle.com,1.10008635,45.0000000,Oui,Accès Internet # Climatisation / air conditionné # Sèche-cheveux # Télévision # Wifi,,,,,2 étoiles,,,,20,01/04/2020|01/10/2020|||||,"Chambre familiale|86,00||3 personnes # Chambre double|60,00|68,00| # Petit-déjeuner|9,00||",Bar # Jardin # Parc # Parking privé # Terrasse,Wifi
HOTAQU03301V3EBB,03/01/2020,Hôtel,Auberge de la Commanderie,,,2 rue Porte Brunet,,33330,SAINT-EMILION,33394,+33 5 57 24 70 19,,contact@aubergedelacommanderie.com,http://www.aubergedelacommanderie.com, -0.1549366,44.8935302,Oui,Accès Internet # Climatisation / air conditionné # Télévision # Wifi,,Vignobles et découvertes,,,2 étoiles,,,,43,01/02/2020|30/11/2020|||||,"Chambre double|85,00|| # Petit-déjeuner|13,00||",Parking privé,Wifi
HOTAQU024FS0001N,30/01/2020,Hôtel - Restaurant,Auberge de la Nauze,,,,Fongauffier,24170,SAGELAT,24360,+33 5 53 28 44 81,,aubergedelanauze@wanadoo.fr,http://www.aubergedelanauze.com,1.01195952,44.7866487,Oui,Accès Internet # Climatisation / air conditionné # Télévision # Terrasse privative # Wifi,,,,,3 étoiles,,,,13,01/01/2020|31/12/2020|||||,"Chambre double|38,00|65,00| # Petit-déjeuner|7,00|7,00| # Autre tarif|16,50|40,00|Menu",Bar # Jardin # Parking privé # Restauration # Terrasse,Location de vélos # Matériel bébé # Service en chambre # Wifi
HOTAQU024FS0002L,30/01/2020,Hôtel - Restaurant,Auberge de la Petite Reine,Route de Belvès,D 710,,,24170,SIORAC-EN-PERIGORD,24538,+33 5 53 31 60 42,,hotel@petite-reine.com,http://www.petite-reine.com,0.99577218,44.8148408,Oui,Accès Internet # Coffre # Sèche-cheveux # Télévision # Terrasse privative # Wifi,,Qualité Tourisme,,,3 étoiles,,,,154,01/04/2020|31/10/2020|||||,"Chambre double|90,00|110,00| # Petit-déjeuner|12,00|12,00| # Autre tarif|26,00|38,00|Menu",Ascenseur # Bar # Garage privé # Jardin # Jeux pour enfants # Local matériel fermé # Parc # Parking privé # Piscine # Restauration # Salle de sport # Salle(s) de réunion # Tennis # Terrasse,Matériel bébé # Paniers pique-nique # Réservation de prestations annexes # Vente de produits touristiques # Wifi
HOTAQU024FS0005W,21/01/2020,Hôtel - Restaurant,Auberge de la Truffe,,,14 avenue Chateaureynaud,Sorges,24420,SORGES ET LIGUEUX EN PERIGORD,24540,+33 5 53 05 02 05,,contact@auberge-de-la-truffe.com ,http://www.auberge-de-la-truffe.com ,0.87365089,45.3072452,Oui,Accès Internet # Canal + # Climatisation / air conditionné # Coffre # Mini-bar # Sèche-cheveux # Télévision # Terrasse privative # Wifi,,,,,3 étoiles,Logis,3 cheminées # 3 cocottes3 cheminées # 3 cocottes,Etape affaires,36,01/01/2020|31/12/2020|||||,Autre tarif|||Tarifs restaurant,Bar # Jardin # Jeux pour enfants # Local matériel fermé # Parc # Parking privé # Piscine # Restauration # Sauna # Spa / Jacuzzi # Tennis # Terrasse,Location de vélos # Matériel bébé # Service en chambre # Wifi
HOTAQU040V509J4Z,03/01/2020,Hôtel - Restaurant,Auberge de l'Abbaye,,,86 place de l’église ,,40300,SORDE-L'ABBAYE,40306,+33 5 58 73 08 90,+33 6 82 35 49 79,cazaux6@gmail.com,http://www.auberge-de-labbaye40.fr/, -1.0549028,43.5293915,Oui,Accès Internet # Climatisation / air conditionné # Sèche-cheveux # Télévision # Wifi,,,,,3 étoiles,,,,7,15/01/2020|20/12/2020|||||,"Chambre double|60,00|90,00| # Petit-déjeuner|5,00|8,00|Enfants / adultes",Bar # Restauration # Salle de sport # Spa / Jacuzzi # Terrasse,Matériel bébé # Wifi
HOTAQU024FS0004P,03/01/2020,Hôtel - Restaurant,Auberge de Lanouaille,,,1 place Bugeaud,,24270,LANOUAILLE,24227,+33 5 53 52 32 19,,auberge.lanouaille@yahoo.fr,http://www.aubergedelanouaille.com,1.1383870,45.3914109,,Télévision # Wifi,,,,,2 étoiles,Logis,1 cheminée # 1 cocotte1 cheminée # 1 cocotte,Etape affaires,14,01/01/2020|31/12/2020|||||,,Bar # Garage privé # Restauration # Terrasse,Wifi
HOTAQU064FS0000O,30/01/2020,Hôtel - Restaurant,Auberge de l'Estanquet,,,12 rue du Marché,,64240,URT,64546,+33 5 59 56 94 90,,aubergedelestanquet@orange.fr,http://www.aubergedelestanquet.com, -1.2909097,43.4940668,Oui,Accès Internet # Canal + # Sèche-cheveux # Wifi,,,,,3 étoiles,Logis # Tables et Auberges de France,2 cheminées # 2 cocottes2 cheminées # 2 cocottes,,29,,,Bar # Restauration # Terrasse,Matériel bébé # Wifi
HOTAQU06401Y4Z5X,09/01/2020,Hôtel - Restaurant,Auberge de l'Etable,,,,Bourg,64470,MONTORY,64404,+33 5 59 28 69 69,,auberge-etable@wanadoo.fr,http://www.auberge-etable.com, -0.8166790,43.0982253,Oui,Sèche-cheveux # Télévision # Wifi,,Hébergement pêche,,,2 étoiles,Logis,2 cheminées # 2 cocottes2 cheminées # 2 cocottes,,69,,Chambre familiale|||4 personnes (1 lit en 140 + 2 lits en 90). # Autre tarif|||chambre triple # Autre tarif|||Chambre Twin # Autre tarif|||Soirée étape,Bar # Local matériel fermé # Parking privé # Piscine # Restauration # Terrasse,Wifi
HOTAQU064V525EO2,03/01/2020,Hôtel - Restaurant,Auberge des Isards,,Le Bourg,,,64490,AYDIUS,64085,+33 5 59 10 92 01,,auberge.aydius@gmail.com,, -0.5429695,43.0017646,Oui,Accès Internet # Câble / satellite # Sèche-cheveux # Télévision # Wifi,Handicap auditif # Handicap mental # Handicap moteur # Handicap visuel,,,,2 étoiles,,,,13,,Petit-déjeuner|||Enfant jusqu'à 10 ans # |||Enfant 3 à 10 ans # Autre tarif|||1/2 pension par personne base chambre double # Autre tarif|||1/2 pension par personne enfant 6 à 10 ans,Bar # Fronton /Pelote basque # Restauration # Terrasse,Wifi
HOTAQU024FS0001M,30/01/2020,Hôtel - Restaurant,Auberge des Platanes,,,,Le Bourg,24250,LA ROQUE-GAGEAC,24355,+33 5 53 29 51 58 # +33 5 53 29 51 56,,contact@aubergedesplatanes.com,http://www.aubergedesplatanes.com,1.18332559,44.8255720,Oui,Climatisation / air conditionné # Télévision # Terrasse privative # Wifi,,,,,2 étoiles,,,,50,,,Bar # Jardin # Jeux pour enfants # Parc # Parking privé # Restauration # Terrasse,Service en chambre # Wifi
HOTAQU024V50CN6O,17/01/2020,Hôtel,Auberge d'hôtes la Ferme Fleurie,Le Colombier,,,,24250,LA ROQUE-GAGEAC,24355,+33 5 53 28 33 39,,reservation@fermefleurieperigord.com,http://www.fermefleurieperigord.com,1.21240,44.82662,Oui,Wifi,,,,,1 étoile,,,,11,04/04/0020|01/11/0020|||||,"Chambre double|64,00|| # Chambre familiale|80,00|| # Chambre familiale|73,00|| # |102,00|| # |138,00|| # |130,00|| # |3,00||",Jardin # Jeux pour enfants # Parking privé # Restauration # Terrasse,Wifi
HOTAQU03301V3E9J,03/01/2020,Hôtel,Auberge du Porche,,,5 rue Ernest Regnier,,33390,BLAYE,33058,+33 5 57 42 22 69,,contact@auberge-du-porche.fr,http://www.auberge-du-porche.fr, -0.6615829,45.1228387,Oui,Accès Internet # Câble / satellite # Mini-bar # Sèche-cheveux # Télévision # Terrasse privative # Wifi,,Accueil Vélo # Le Canal des 2 Mers à vélo # Vignobles et découvertes,,,3 étoiles,Tables et Auberges de France,,,16,05/10/2020|30/12/2020|||||,"Chambre double|75,00|116,00| # Petit-déjeuner|6,80|12,80| # Chambre single|75,00|116,00|",Bar # Local matériel fermé # Salle(s) de réunion # Terrasse,Location de vélos # Matériel bébé # Paniers pique-nique # Service en chambre # Wifi
