Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,LABELS_CLASSEMENT,LABELS_THEMES,CLASSEMENT,CHAINES,LOGIS_CLASSEMENT,LOGIS_THEMES,CAPACITE_NBRE_PERS,OUVERTURE,TARIFS,EQUIPEMENTS,SERVICES
VILAQU040FS0000C,08/01/2020,,Artes le Junka,,,Avenue de la plage,BP 57,40480,VIEUX-BOUCAU,40328,+33 5 58 41 94 19,,accueil@lejunka.com,http://www.lejunka.com, -1.4027953,43.7857500,Oui,Kitchenette # Télévision # Terrasse privative / balcon,,,,,3 étoiles,Artes Découverte et Vacances,,,450,05/04/2020|01/11/2020|||||,"Tarif logement par semaine|400,00|1315,00| # Tarif logement par week-end|60,00|200,00|",Aire de jeux enfants # Bar # Boulodrome # Jeux pour enfants / ludothèque # Local matériel fermé # Matériel bébé # Parking privé # Piscine # Piscine enfants # Restauration # Salle(s) de réunion # Terrain de sports,Alimentation/Point alimentation # Bar / buvette # Club adolescents # Club enfants # Lave linge collectif # Location de linge # Location de matériel de sport # Location de vélos # Navette gare ou aéroport # Nettoyage / ménage # Paniers pique-nique # Plats à emporter # Réservation de prestations annexes # Sèche linge collectif # Vente de produits touristiques # Wifi
VILAQU040FS00006,30/01/2020,,Azureva ,,,911 avenue du Touring-Club,,40150,SOORTS-HOSSEGOR,40304,+33 5 58 43 67 72,,hossegor@azureva-vacances.com ,http://www.azureva-vacances.com, -1.4274401,43.6622881,Oui,Accès internet # Kitchenette # Télévision # Terrasse privative / balcon # Wifi,,,,,1 étoile,,,,320,,Autre tarif|||Tarif logement + 1/2 pension par semaine # Autre tarif|||tarif logement locatif par semaine,Ascenseur # Bar # Local matériel fermé # Matériel bébé # Parking privé # Restauration # Tennis # Terrain de sports,Bar / buvette # Lave linge collectif # Location de linge # Location de matériel de sport # Sèche linge collectif # Wifi
VILAQU06401SGMRH,03/01/2020,,Azureva Anglet,,,48 promenade des Sables,,64600,ANGLET,64024,+33 5 59 58 04 70,,anglet@azureva-vacances.com,https://www.azureva-vacances.com, -1.5332804,43.5017088,Oui,Terrasse privative / balcon # Wifi,,Accueil Vélo # Vélodyssée,,,2 étoiles,,,,248,05/04/2020|01/11/2020|||||,"Autre tarif|58,00||Tarif par jour et par personne en chambre Twin / Petit-déj. inclus",Aire de jeux enfants # Bar # Boulodrome # Jardin # Parc # Parking privé # Piscine # Tennis,
VILAQU033FS0000G,03/01/2020,,Azureva Lacanau,,,Allée du Vieux Port,,33680,LACANAU,33214,+33 5 56 03 51 68,,lacanau@azureva-vacances.com,http://www.azureva-vacances.com, -1.0910330,44.9759116,Oui,Lave vaisselle # Télévision # Wifi,,Accueil Vélo # Famille Plus # Le Tour de Gironde à vélo # Vélodyssée,,,3 étoiles,Artes Découverte et Vacances,,,432,05/04/2020|27/09/2020|||||,"Tarif logement par semaine|309,00||Location 2 pers.",Aire de jeux enfants # Bar # Boulodrome # Jardin # Jeux pour enfants / ludothèque # Parking privé # Piscine # Piscine enfants # Restauration # Salle(s) de réunion,Bar / buvette # Club enfants # Lave linge collectif # Location de vélos # Sèche linge collectif # Wifi
VILAQU06401ZX9FM,01/02/2020,,"Belambra Club ""Lou Sarri""",,,,,64440,EAUX-BONNES,64204,+33 5 59 05 10 15,,club.gourette@belambra.fr,http://www.belambra.fr/club-gourette-lou-sarri/ete, -0.3306089,42.9584983,Oui,Télévision # Terrasse privative / balcon # Wifi,,,,,3 étoiles,Belambra Clubs,,,632,,Tarif logement par semaine|||été: 1 semaine adulte et enfant +12ans en 1/2 Pension # Tarif logement par semaine|||été : 1 semaine Enfant 6 à -12 ans en 1/2 pension,Aire de jeux enfants # Ascenseur # Bar # Boulodrome # Hammam # Matériel bébé # Parc # Parking privé # Restauration # Salle de sport # Sauna,Baby Club # Bar / buvette # Club adolescents # Club enfants # Lave linge collectif # Location de linge # Wifi
VILAQU04001WBB6V,03/01/2020,,Belambra Club Domaine de Pinsolle,,,Avenue de la Pêtre,,40140,SOUSTONS,40310,+33 5 58 48 40 00 # +33 8 90 64 13 14,,,http://www.belambra.fr/, -1.4022588,43.7741229,Oui,Accès internet # Kitchenette # Lave vaisselle # Télévision # Terrasse privative / balcon,,,,,3 étoiles,Belambra Clubs,,,760,,,Aire de jeux enfants # Bar # Boulodrome # Jardin # Jeux pour enfants / ludothèque # Parking privé # Piscine # Piscine enfants # Sauna,
VILAQU04001WBCXR,03/01/2020,,Belambra Club Les Estagnots,,,Avenue du Penon,,40510,SEIGNOSSE,40296,+33 5 58 41 68 50 # +33 8 25 80 88 08,,club.seignosse-les-estagnots@belambra.fr,http://www.belambra.fr, -1.4368915,43.690808,Oui,Accès internet # Kitchenette # Lave vaisselle # Télévision # Terrasse privative / balcon # Wifi,,,,,3 étoiles,Belambra Clubs,,,1790,15/05/2020|31/10/2020|||||,,Aire de jeux enfants # Bar # Boulodrome # Jeux pour enfants / ludothèque # Parc # Parking privé # Piscine # Piscine enfants # Restauration # Tennis # Terrain de sports,Alimentation/Point alimentation # Bar / buvette # Club adolescents # Club enfants # Lave linge collectif # Location de linge # Location de matériel de sport # Nettoyage / ménage # Plats à emporter # Sèche linge collectif
VILAQU040FS00002,06/01/2020,,Camping Village Vacances Les 2 Etangs ,,,1379 route de l'Etang Blanc ,,40510,SEIGNOSSE,40296,+33 5 58 41 66 99,,info@les2etangs.com,http://www.les2etangs.com, -1.3729906,43.7011094,Oui,Kitchenette # Télévision # Terrasse privative / balcon # Wifi,,Hébergement pêche # Qualité Tourisme,,,4 étoiles,,,,172,29/02/2020|01/11/2020|||||,"Tarif logement par semaine|196,00|1379,00| # Tarif logement par week-end|100,00|186,00|",Aire de jeux enfants # Bar # Boulodrome # Hammam # Jeux pour enfants / ludothèque # Matériel bébé # Parking privé # Piscine # Restauration # Salle de sport # Sauna,Alimentation/Point alimentation # Bar / buvette # Club enfants # Dépôt glace # Lave linge collectif # Location de linge # Nettoyage / ménage # Plats à emporter # Sèche linge collectif
VILAQU06401SGM90,03/01/2020,,Club Belambra La Chambre d'Amour,,,Promenade des Sources,,64600,ANGLET,64024,+33 5 59 31 31 31,,club.anglet@belambra.fr,https://www.belambra.fr/club-anglet-la-chambre-d-amour, -1.5439337,43.4965897,Oui,Télévision,,,,,4 étoiles,Belambra Clubs,,,772,15/02/2020|01/11/2020||||| # 19/12/2020|02/01/2021|||||,"Autre tarif|69,00||Tarif par jour et par chambre / Petit déj. inclus (à partir de) # Autre tarif|2,00||Wifi dans les logements et les parties communes (la journée pour 2 équipements)",Aire de jeux enfants # Ascenseur # Bar # Boulodrome # Jardin # Jeux pour enfants / ludothèque # Local matériel fermé # Matériel bébé # Parking privé # Piscine # Piscine enfants # Restauration # Terrain de sports,Club adolescents # Club enfants
VILAQU06401W17U1,15/01/2020,,Club de Vacances Le Saint Ignace,,,53 Chemin Haranederrea ,,64310,ASCAIN,64065,+33 5 59 54 03 10,,saintignace@gmail.com,https://www.vacances-club.fr, -1.6184985,43.3401183,Oui,Télévision # Terrasse privative / balcon # Wifi,,,,,3 étoiles,,,,221,21/03/2020|26/10/2020|||||,"Autre tarif|50,00|60,00|demi-pension par adulte en basse saison # Autre tarif|65,00|85,00| demi-pension par adulte en haute saison",Aire de jeux enfants # Bar # Boulodrome # Jardin # Matériel bébé # Parking privé # Piscine # Restauration # Salle de sport # Tennis # Terrain de sports,Club adolescents # Lave linge collectif # Nettoyage / ménage # Sèche linge collectif
