Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,LABELS_CLASSEMENT,LABELS_THEMES,CLASSEMENT,CHAINES,LOGIS_CLASSEMENT,LOGIS_THEMES,CAPACITE_NBRE_PERS,OUVERTURE,TARIFS,EQUIPEMENTS,SERVICES
"HLOAQU0400010368","26/03/2015","MeublésMeublés","A Linès","","","14 chemin de Barboulet, Castagnet","Castagnet","40500","SAINT-SEVER","40282","+33 5 58 85 44 44","","http://www.gites-de-france-landes.com/fiche?NUM=10368"," -0.5742210","43.7591370","","Accès Internet # Lave linge privatif # Lave vaisselle # Télévision # Wifi","","Gîtes de France","3 épis3 épis","","","","","","4","01/01/2015|31/01/2015|||||","Week-end (meublé)|130,00|| # Semaine (meublé)|210,00|510,00| # Semaine basse saison|210,00|300,00| # Semaine moyenne saison|300,00|| # Semaine haute saison|490,00|| # Semaine très haute saison|510,00||","Piscine partagée # Piscine privative","Prêt de vélos"
"HLOAQU0400010530","28/04/2015","MeublésMeublés","A Nouste","","Le doux chalossais","830 chemin de Joanin","","40300","CAGNOTTE","40059","+33 5 58 85 44 44","","http://www.gites-de-france-landes.com/fiche?NUM=10530"," -1.05877","43.59725","Oui","Accès Internet # Lave linge privatif # Télévision","","Gîtes de France","2 épis # 3 épis2 épis # 3 épis","","","","","","4","01/01/2015|31/01/2015|||||","Semaine (meublé)|265,00|480,00| # Week-end (meublé)|110,00|| # Semaine (meublé)|265,00|480,00| # Week-end (meublé)|110,00|| # Semaine (meublé)|265,00|480,00| # Semaine basse saison|265,00|290,00| # Semaine moyenne saison|290,00|| # Semaine haute saison|350,00|| # Semaine très haute saison|480,00||","","Draps et/ou linge compris"
"HLOAQU0400020526","26/03/2015","MeublésMeublés","Acacias -n°2","","","Lac de Luc","Lac de Luc","40350","POUILLON","40233","+33 5 58 98 21 62","","http://www.pouillon40.fr/Sports-Loisirs-Tourisme/le-lac-de-Luc"," -1.01486","43.59303","Oui","Accès Internet # Lave linge privatif # Télévision","","Gîtes de France","2 épis2 épis","","","","","","4","01/01/2015|31/01/2015|||||","Week-end (meublé)|164,00|| # Semaine (meublé)|328,00|375,00| # Semaine basse saison|328,00|328,00| # Semaine très haute saison|375,00||","",""
"HLOAQU040V50303E","26/03/2015","MeublésMeublés","Adour","","","271 chemin de Gurgues","","40465","PONTONX-SUR-L'ADOUR","40230","+33 5 58 85 44 44","","http://www.gites-de-france-landes.com/fiche?NUM=10408"," -0.9364999","43.7785773","","Accès Internet # Lave linge privatif # Télévision","","Gîtes de France","2 épis2 épis","Gîtes Bébé","","","","","4","01/01/2015|31/01/2015|||||","Semaine (meublé)|175,00|360,00| # Semaine basse saison|175,00|190,00| # Semaine moyenne saison|190,00|| # Semaine haute saison|260,00|| # Semaine très haute saison|360,00|| # Week-end (meublé)|105,00||","",""
"HLOAQU0400010804","26/03/2015","MeublésMeublés","Adour","","","Grand Bourrassé, bellevue","Quartier bellevue","40390","SAINTE-MARIE-DE-GOSSE","40271","+33 5 58 85 44 44","","http://www.gites-de-france-landes.com/fiche?NUM=10804"," -1.2388410","43.5568100","","Accès Internet # Cheminée # Congélateur # Lave linge privatif # Lave vaisselle # Sèche linge privatif # Télévision","","Gîtes de France","3 épis3 épis","Gîtes de Prestige","","","","","6","01/06/2015|30/09/2015|||||","Semaine (meublé)|360,00|680,00| # Semaine basse saison|360,00|430,00| # Semaine moyenne saison|430,00|| # Semaine haute saison|520,00|| # Semaine très haute saison|680,00||","","Draps et/ou linge compris"
"HLOAQU0400020792","26/03/2015","MeublésMeublés","Airial","","","582 chemin du Tort","","40170","SAINT-JULIEN-EN-BORN","40266","","+33 6 88 03 06 80","www.contis-vacances.com/gites-de-france"," -1.2512490","44.0835845","Oui","Câble / satellite # Chauffage # Cheminée # Congélateur # Four # Four à micro ondes # Lave linge privatif # Lave vaisselle # Matériel enfant # Télévision","","Gîtes de France","3 épis3 épis","","3 étoiles","","","","4","01/01/2015|31/12/2015|||||","Semaine (meublé)|300,00|780,00| # Semaine basse saison|300,00|300,00| # Semaine moyenne saison|400,00|| # Semaine haute saison|550,00|| # Semaine très haute saison|780,00||","","Draps et/ou linge compris # Nettoyage / ménage"
"HLOAQU0400010628","26/03/2015","MeublésMeublés","Albizzia","","","Albizzia, 177 rue St Eutrope","","40200","SAINTE-EULALIE-EN-BORN","40257","+33 5 58 85 44 44","","http://www.gites-de-france-landes.com/fiche?NUM=10628"," -1.18685","44.27247","Oui","Accès Internet # Lave linge privatif # Télévision","","Gîtes de France","2 épis2 épis","Gîtes Bébé","2 étoiles","","","","3","01/01/2015|31/01/2015|||||","Week-end (meublé)|180,00|| # Semaine (meublé)|235,00|540,00| # Semaine basse saison|235,00|280,00| # Semaine moyenne saison|290,00|| # Semaine haute saison|390,00|| # Semaine très haute saison|540,00||","",""
"HLOAQU0400010497","26/03/2015","MeublésMeublés","Albret","","","Gîtes du Vieux Port, Albret","","40250","MUGRON","40201","+33 5 58 85 44 44","","http://www.gites-de-france-landes.com/fiche?NUM=10497"," -0.7514905","43.7541711","Oui","Lave linge privatif # Lave vaisselle # Télévision","","Gîtes de France","3 épis3 épis","","","","","","6","01/01/2015|31/01/2015|||||","Week-end (meublé)|160,00|| # Semaine (meublé)|265,00|560,00| # Semaine basse saison|265,00|380,00| # Semaine moyenne saison|380,00|| # Semaine haute saison|450,00|| # Semaine très haute saison|560,00||","",""
"HLOAQU0400010242","14/04/2015","MeublésMeublés","Alouette","","","Route de la Piscine","","40430","SORE","40307","+33 5 58 85 44 44","","http://www.gites-de-france-landes.com/fiche?NUM=10242"," -0.5837774","44.319872","Oui","Lave linge privatif # Lave vaisselle # Télévision","","Gîtes de France","2 épis2 épis","Gîtes forestiers","","","","","6","01/06/2015|30/09/2015|||||","Week-end (meublé)|216,00|| # Semaine (meublé)|210,00|455,00| # Semaine moyenne saison|210,00|210,00| # Semaine haute saison|398,00|| # Semaine très haute saison|455,00||","Piscine partagée # Piscine privative",""
"HLOAQU040FS001B6","26/03/2015","MeublésMeublés","Altéa","","","265 allée de Brouhailles","","40600","BISCARROSSE LAC","40046","+33 5 58 78 45 12","+33 6 77 77 83 08","herran40.monsite.orange.fr"," -1.2005781","44.4633898","Oui","Câble / satellite # Chauffage # Congélateur # Four # Four à micro ondes # Lave linge privatif # Lave vaisselle # Télévision","","Clévacances","3 clés3 clés","","3 étoiles","","","","9","01/01/2015|31/12/2015|||||","Semaine (meublé)|400,00|1450,00|","",""
"HLOAQU0400010540","19/05/2015","MeublésMeublés","Amandine","320 Route d'Escorneboeuf
","","","","40180","SAUBUSSE","40293","+33 5 58 85 44 44","","http://www.gites-de-france-landes.com/fiche?NUM=10540"," -1.1871680","43.6562690","","Lave linge privatif # Lave vaisselle # Télévision","","Gîtes de France","3 épis3 épis","","Non classé","","","","4","","Semaine (meublé)|280,00|550,00| # Semaine basse saison|280,00|| # Semaine moyenne saison|330,00|| # Semaine haute saison|450,00|| # Semaine très haute saison|550,00|| # Week-end (meublé)|150,00|| # |600,00||Tarif cure hors juillet et août","",""
"HLOAQU0400020913","26/03/2015","MeublésMeublés","Andrew","","","38 rue des Mimosas","","40660","MOLIETS-ET-MAA","40187","05 56 06 05 74","+33 6 60 86 87 48","http://www.gites-de-france-landes.com/fiche?NUM=20913","","","","Accès Internet","","Gîtes de France","2 épis2 épis","","","","","","3","01/06/2015|30/09/2015|||||","Semaine (meublé)|300,00|500,00| # Semaine moyenne saison|300,00|300,00| # Semaine haute saison|420,00|| # Semaine très haute saison|500,00||","",""
