Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,LABELS_CLASSEMENT,LABELS_THEMES,CLASSEMENT,CHAINES,LOGIS_CLASSEMENT,LOGIS_THEMES,CAPACITE_NBRE_PERS,OUVERTURE,TARIFS,EQUIPEMENTS,SERVICES
"HLOAQU047FS003OF","02/01/2015","MeublésMeublés","","","","","","","BOURNEL","47037","+33 5 53 41 38 31","","","","","","","","","","","4 étoiles","","","","4","","","",""
"HLOAQU047V502DD9","24/02/2015","MeublésMeublés","American Dream","","","","Laspietat","47300","VILLENEUVE-SUR-LOT","47323","","+33 5 53 47 80 87","","0.71116953","44.4336437","Oui","Accès Internet # Chaîne Hifi # Chauffage # Combiné congélation # Four # Four à micro ondes # Lave linge privatif # Lave vaisselle # Réfrigérateur # Spa / Jacuzzi # Télévision","","Gîtes de France","3 épis3 épis","","Non classé","","","","4","01/01/2015|31/12/2015|||||","Semaine (meublé)|350,00|750,00| # Semaine moyenne saison|550,00|550,00| # Semaine haute saison|700,00|700,00| # Semaine très haute saison|750,00|750,00| # Week-end (meublé)|140,00|250,00|Nuitée:140€-WE2:200€-WE3:250€ # Semaine basse saison|350,00|400,00|BS:350€-Vacances de Noël:400€","Piscine partagée","Nettoyage / ménage # Wifi"
"HLOAQU047FS000MT","02/01/2015","MeublésMeublés","Au Bourg","","","","Au bourg","47120","LOUBES-BERNAC","47151","+33 5 53 66 11 82 # +33 5 53 66 08 65","","www.reservation-lotetgaronne.com","0.29482841","44.7319487","Oui","Combiné congélation # Four # Lave linge privatif # Lit bébé # Télévision","","Clévacances","2 clés2 clés","","Non classé","","","","4","","Semaine haute saison|320,00|320,00| # Semaine très haute saison|385,00|385,00| # Semaine (meublé)|320,00|385,00|2015:HS:320€-THS:385€","","Location de draps et/ou de linge"
"HLOAQU047FS0006W","28/01/2015","MeublésMeublés","Au Pressoir","","","","Champagne","47800","PUYSSERAMPION","47218","+33 5 53 93 28 90 # +33 5 53 47 80 87","","www.gites-de-france-47.com","0.32057762","44.5978015","Oui","Cheminée # Lave linge privatif # Télévision","","Gîtes de France","2 épis2 épis","","Non classé","","","","4","01/01/2015|31/12/2015|||||","Semaine basse saison|200,00|200,00| # Semaine moyenne saison|200,00|200,00| # Semaine haute saison|340,00|340,00| # Semaine très haute saison|340,00|340,00| # Semaine (meublé)|200,00|340,00|BS/MS:200€-HS/THS:340€ # Week-end (meublé)|70,00|100,00|1nuit:70€-2nuits:80€-3nuits:100€","","Location de draps et/ou de linge"
"HLOAQU047FS003AM","19/01/2015","MeublésMeublés","Aux blanches pierres","","","","Bel her","47500","FUMEL","47106","+33 5 53 75 23 70","+33 6 32 94 94 13 # +33 6 14 53 52 26","","0.974497","44.523146","Oui","Accès Internet # Chaîne Hifi # Combiné congélation # Congélateur # Four # Four à micro ondes # Lave linge privatif # Lit bébé # Réfrigérateur # Sèche linge collectif # Télévision","","Gîtes de France","2 épis2 épis","","Non classé","","","","2","01/01/2015|31/12/2015|||||","Semaine basse saison|250,00|250,00| # Semaine moyenne saison|280,00|280,00| # Semaine haute saison|340,00|340,00| # Semaine très haute saison|360,00|360,00| # Semaine (meublé)|250,00|360,00|BS:250€-MS:280€-HS:340€-THS:360€ # Week-end (meublé)|110,00|160,00|2nuits:140€-3nuits:190€","Piscine partagée","Nettoyage / ménage # Table d'hôtes"
"HLOAQU047FS00071","02/01/2015","MeublésMeublés","Bardots - Les Peupliers","","","Le Bourg","","47800","PUYSSERAMPION","47218","+33 5 53 47 80 87","","www.gites-de-france-47.com","0.31337320","44.6021635","Oui","Cheminée # Lave linge privatif # Lave vaisselle # Télévision","","Gîtes de France","3 épis3 épis","","Non classé","","","","5","01/04/2015|30/11/2015|||||","Semaine basse saison|450,00|600,00|BS:450€-Vacances de Noël:600€ # Semaine moyenne saison|590,00|590,00| # Semaine haute saison|790,00|790,00| # Semaine très haute saison|890,00|890,00| # Semaine (meublé)|450,00|890,00|BS:450/600€-MS:590€-HS:790€-THS:890€","Piscine partagée","Location de draps et/ou de linge # Nettoyage / ménage"
"HLOAQU047FS00070","02/01/2015","MeublésMeublés","Bardots - Les Tilleuls","","","Le Bourg","","47800","PUYSSERAMPION","47218","+33 5 53 47 80 87","","www.gites-de-france-47.com","0.31333565","44.6021597","Oui","Cheminée # Lave linge privatif # Lave vaisselle # Télévision","","Gîtes de France","3 épis3 épis","","Non classé","","","","5","01/04/2015|30/11/2015|||||","Semaine basse saison|450,00|600,00|BS:450€-vacances de Noël:600€ # Semaine moyenne saison|590,00|590,00| # Semaine haute saison|790,00|790,00| # Semaine très haute saison|890,00|890,00| # Semaine (meublé)|450,00|890,00|BS:450/600€-MS:590€-HS:790€-THS:890€","Piscine partagée","Location de draps et/ou de linge # Nettoyage / ménage"
"HLOAQU047FS003P1","08/01/2015","MeublésMeublés","Chalet Nature ","Domaine du Lac de Goulens 
","Chalet Nature n°27","","","47390","LAYRAC","47145","+33 5 53 66 11 82 # +33 5 53 66 08 65","","www.reservation-lotetgaronne.com","0.66068900","44.134673","Oui","Chauffage # Combiné congélation # Four # Four à micro ondes # Lave linge privatif # Lave vaisselle # Lit bébé # Poêle à bois # Télévision","","Clévacances","2 clés2 clés","","","","","","6","","Semaine très haute saison|590,00|590,00| # Semaine haute saison|460,00|460,00| # Semaine moyenne saison|350,00|350,00| # Semaine basse saison|250,00|250,00| # Week-end (meublé)|180,00|215,00|2nuits:180€-3nuits:215€ # Semaine (meublé)|250,00|590,00|2015:BS:250€-MS:350€-HS:460€-THS:590€","Jeux pour enfants # Piscine partagée","Location de draps et/ou de linge # Nettoyage / ménage"
"HLOAQU047FS002JT","02/01/2015","MeublésMeublés","Château de Mazelières Cedar Cottage","Château Mazelières
","","","","47600","ESPIENS","47090","+33 5 53 97 24 09 # +33 5 53 47 80 87","+33 6 13 44 28 63","http://www.chateaudemazelieres.com # www.gites-de-france-47.com","0.3782336","44.1681925","Oui","Cheminée # Combiné congélation # Four # Lave linge privatif # Lave vaisselle # Télévision # Wifi","","Gîtes de France","4 épis4 épis","","Non classé","","","","3","01/01/2015|31/12/2015|||||","Semaine basse saison|700,00|850,00|BS:700€-Vacances de Noël:850€ # Semaine moyenne saison|850,00|850,00| # Semaine haute saison|1100,00|1100,00| # Semaine très haute saison|1302,00|1302,00| # Semaine (meublé)|700,00|1302,00|BS:700/850€-MS:850€-HS:1100€-THS:1302€ # Week-end (meublé)|250,00|570,00|1nuit:250€-2nuits:425€-3nuits:570€","Piscine partagée","Wifi"
"HLOAQU047FS002JU","02/01/2015","MeublésMeublés","Château de Mazelières Pool Cottage","Château Mazelières
","","","","47600","ESPIENS","47090","+33 5 53 97 24 09 # +33 5 53 47 80 87","+33 6 13 44 28 63","http://www.chateaudemazelieres.com # www.gites-de-france-47.com","0.3782336","44.1681925","Oui","Accès Internet # Combiné congélation # Four # Four à micro ondes # Lave linge privatif # Lave vaisselle # Télévision","","Gîtes de France","4 épis4 épis","","Non classé","","","","8","01/01/2015|31/12/2015|||||","Semaine basse saison|1400,00|1750,00|BS:1400€-Vacances de Noël:1750€ # Semaine moyenne saison|1750,00|1750,00| # Semaine haute saison|2030,00|2030,00| # Semaine très haute saison|2450,00|2450,00| # Semaine (meublé)|1400,00|2450,00|BS:1400/1750€-MS:1750€-HS:2030€-THS:2450€ # Week-end (meublé)|440,00|953,00|1nuit:440€-2nuits:748€-3nuits:953€","Piscine partagée",""
